month,ipca_12m,ipca_mom,ipca_yoy,month_key
1993-03-01,1229.71,0.05239240387166344,1.1679977433402091,1993-03
1993-04-01,1316.42,0.07051255987183969,0.9880693487978738,1993-04
1993-05-01,1348.52,0.024384315036234616,0.7160891309604103,1993-05
1993-06-01,1467.33,0.08810399549135339,0.7108128905885644,1993-06
1993-07-01,1581.7,0.07794429337640474,0.6863552039576091,1993-07
1993-08-01,1730.67,0.09418347347790346,0.7369752200487771,1993-08
1993-09-01,1893.13,0.09387115972426874,0.7501432929647778,1993-09
1993-10-01,2031.27,0.07296910407631807,0.7960899782481827,1993-10
1993-11-01,2258.68,0.11195458998557539,1.045535229125158,1993-11
1993-12-01,2477.15,0.09672463562788902,1.2135197926905552,1993-12
1994-01-01,2693.84,0.08747552631047784,1.318697871388117,1994-01
1994-02-01,3035.71,0.12690805690018703,1.597976876139291,1994-02
1994-03-01,3417.39,0.12573005985420216,1.7790210700083757,1994-03
1994-04-01,3828.49,0.12029648357372147,1.908258762401057,1994-04
1994-05-01,4331.19,0.13130503148760986,2.211809984279061,1994-05
1994-06-01,4922.6,0.13654676890184936,2.3548008968670993,1994-06
1994-07-01,4005.08,-0.18638930646406382,1.5321363090345828,1994-07
1994-08-01,3044.89,-0.23974302635652722,0.7593706483616169,1994-08
1994-09-01,2253.15,-0.26002252954950744,0.19017183183405262,1994-09
1994-10-01,1703.17,-0.24409382420167325,-0.16152456345045219,1994-10
1994-11-01,1267.54,-0.25577599417556685,-0.4388138204615085,1994-11
1994-12-01,916.46,-0.27697745238809024,-0.6300345154714087,1994-12
1995-01-01,631.54,-0.3108919101761125,-0.7655614290381018,1995-01
1995-02-01,426.83,-0.3241441555562593,-0.8593969779722042,1995-02
1995-03-01,274.78,-0.35623081789002653,-0.9195936079873822,1995-03
1995-04-01,169.05,-0.3847805517140984,-0.9558442101193944,1995-04
1995-05-01,91.79,-0.45702454895001476,-0.9788072100277291,1995-05
1995-06-01,33.03,-0.6401568798344046,-0.993290131231463,1995-06
1995-07-01,27.45,-0.16893732970027253,-0.9931462043205129,1995-07
1995-08-01,26.36,-0.03970856102003639,-0.9913428728131394,1995-08
1995-09-01,25.69,-0.02541729893778444,-0.9885981847635532,1995-09
1995-10-01,24.21,-0.057609964966913174,-0.9857853297087196,1995-10
1995-11-01,22.59,-0.06691449814126393,-0.9821780772204427,1995-11
1995-12-01,22.41,-0.007968127490039834,-0.9755472142810379,1995-12
1996-01-01,21.97,-0.01963409192324861,-0.9652120214079868,1996-01
1996-02-01,21.99,0.0009103322712789019,-0.9484806597474404,1996-02
1996-03-01,20.55,-0.06548431105047736,-0.9252128975907999,1996-03
1996-04-01,19.17,-0.06715328467153281,-0.8866015971606034,1996-04
1996-05-01,17.49,-0.0876369327073554,-0.8094563677960562,1996-05
1996-06-01,16.26,-0.07032590051457954,-0.5077202543142597,1996-06
1996-07-01,14.84,-0.08733087330873324,-0.4593806921675774,1996-07
1996-08-01,14.21,-0.04245283018867918,-0.4609256449165402,1996-08
1996-09-01,13.26,-0.06685432793807189,-0.4838458544180615,1996-09
1996-10-01,12.02,-0.09351432880844646,-0.5035109458901281,1996-10
1996-11-01,10.75,-0.10565723793677206,-0.5241257193448429,1996-11
1996-12-01,9.56,-0.11069767441860456,-0.573404730031236,1996-12
1997-01-01,9.39,-0.01778242677824271,-0.5725989986345015,1997-01
1997-02-01,8.82,-0.060702875399361034,-0.5989085948158253,1997-02
1997-03-01,8.99,0.01927437641723362,-0.5625304136253042,1997-03
1997-04-01,8.58,-0.04560622914349277,-0.5524256651017214,1997-04
1997-05-01,7.71,-0.10139860139860146,-0.5591766723842195,1997-05
1997-06-01,7.02,-0.08949416342412453,-0.5682656826568266,1997-06
1997-07-01,6.08,-0.1339031339031338,-0.5902964959568733,1997-07
1997-08-01,5.59,-0.08059210526315796,-0.6066150598170303,1997-08
1997-09-01,5.5,-0.01610017889087656,-0.5852187028657616,1997-09
1997-10-01,5.42,-0.014545454545454528,-0.5490848585690515,1997-10
1997-11-01,5.27,-0.027675276752767597,-0.5097674418604652,1997-11
1997-12-01,5.22,-0.009487666034155517,-0.4539748953974896,1997-12
1998-01-01,4.73,-0.09386973180076619,-0.4962726304579339,1998-01
1998-02-01,4.69,-0.008456659619450302,-0.46825396825396826,1998-02
1998-03-01,4.52,-0.03624733475479758,-0.49721913236929927,1998-03
1998-04-01,3.85,-0.14823008849557517,-0.5512820512820513,1998-04
1998-05-01,3.95,0.025974025974025983,-0.48767833981841757,1998-05
1998-06-01,3.41,-0.13670886075949362,-0.5142450142450141,1998-06
1998-07-01,3.06,-0.1026392961876833,-0.4967105263157895,1998-07
1998-08-01,2.55,-0.16666666666666674,-0.5438282647584973,1998-08
1998-09-01,2.27,-0.1098039215686274,-0.5872727272727273,1998-09
1998-10-01,2.05,-0.09691629955947145,-0.6217712177121771,1998-10
1998-11-01,1.76,-0.14146341463414625,-0.6660341555977229,1998-11
1998-12-01,1.65,-0.0625,-0.6839080459770115,1998-12
1999-01-01,1.65,0.0,-0.6511627906976745,1999-01
1999-02-01,2.24,0.3575757575757579,-0.5223880597014925,1999-02
1999-03-01,3.02,0.3482142857142856,-0.331858407079646,1999-03
1999-04-01,3.35,0.10927152317880795,-0.1298701298701299,1999-04
1999-05-01,3.14,-0.06268656716417909,-0.2050632911392405,1999-05
1999-06-01,3.32,0.0573248407643312,-0.026392961876832932,1999-06
1999-07-01,4.57,0.3765060240963858,0.4934640522875817,1999-07
1999-08-01,5.69,0.24507658643326047,1.2313725490196084,1999-08
1999-09-01,6.25,0.09841827768014055,1.753303964757709,1999-09
1999-10-01,7.5,0.19999999999999996,2.658536585365854,1999-10
1999-11-01,8.65,0.15333333333333332,3.9147727272727275,1999-11
1999-12-01,8.94,0.03352601156069346,4.418181818181818,1999-12
2000-01-01,8.85,-0.010067114093959662,4.363636363636363,2000-01
2000-02-01,7.86,-0.11186440677966092,2.508928571428571,2000-02
2000-03-01,6.92,-0.11959287531806617,1.2913907284768213,2000-03
2000-04-01,6.77,-0.021676300578034713,1.0208955223880594,2000-04
2000-05-01,6.47,-0.04431314623338256,1.0605095541401273,2000-05
2000-06-01,6.51,0.0061823802163833985,0.9608433734939759,2000-06
2000-07-01,7.06,0.08448540706605212,0.5448577680525162,2000-07
2000-08-01,7.86,0.11331444759206799,0.38137082601054484,2000-08
2000-09-01,7.77,-0.011450381679389388,0.24319999999999986,2000-09
2000-10-01,6.65,-0.144144144144144,-0.11333333333333329,2000-10
2000-11-01,5.99,-0.09924812030075192,-0.307514450867052,2000-11
2000-12-01,5.97,-0.0033388981636061077,-0.33221476510067116,2000-12
2001-01-01,5.92,-0.008375209380234505,-0.33107344632768365,2001-01
2001-02-01,6.27,0.05912162162162149,-0.20229007633587792,2001-02
2001-03-01,6.44,0.027113237639553533,-0.06936416184971095,2001-03
2001-04-01,6.61,0.026397515527950333,-0.023633677991137247,2001-04
2001-05-01,7.04,0.06505295007564293,0.08809891808346215,2001-05
2001-06-01,7.35,0.04403409090909083,0.12903225806451601,2001-06
2001-07-01,7.05,-0.04081632653061218,-0.0014164305949008194,2001-07
2001-08-01,6.41,-0.09078014184397154,-0.18447837150127233,2001-08
2001-09-01,6.46,0.007800312012480548,-0.16859716859716856,2001-09
2001-10-01,7.19,0.11300309597523217,0.08120300751879705,2001-10
2001-11-01,7.61,0.05841446453407517,0.27045075125208684,2001-11
2001-12-01,7.67,0.007884362680683266,0.2847571189279732,2001-12
2002-01-01,7.62,-0.006518904823989535,0.2871621621621623,2002-01
2002-02-01,7.51,-0.014435695538057791,0.19776714513556626,2002-02
