month,ipca_12m,ipca_mom,ipca_yoy,month_key,usdbrl_avg,mom,yoy
2004-01-01,7.71,-0.17096774193548392,-0.4671734623358673,2004-01,2.8510333333333335,-0.025105950863667736,-0.17062164523229595
2004-02-01,6.69,-0.13229571984435795,-0.5779179810725552,2004-02,2.929511111111111,0.027526082161243526,-0.18396996310229197
2004-03-01,5.89,-0.11958146487294474,-0.6445383222691612,2004-03,2.9046565217391307,-0.008484210651296564,-0.15711517535446773
2004-04-01,5.26,-0.1069609507640068,-0.6863446630888491,2004-04,2.9051850000000004,0.0001819417397252998,-0.06821483897660885
2004-05-01,5.15,-0.02091254752851701,-0.701276102088167,2004-05,3.0996190476190475,0.06692656323746915,0.04896074051871113
2004-06-01,6.06,0.17669902912621338,-0.6342788171394086,2004-06,3.128347619047619,0.009268420082344964,0.08532549001532375
2004-07-01,6.81,0.12376237623762387,-0.5586519766688269,2004-07,3.0359772727272727,-0.029526880503282227,0.05451378215684444
2004-08-01,7.18,0.05433186490455211,-0.5235567352355674,2004-08,3.002113636363636,-0.011154113921681752,0.00012352131359172347
2004-09-01,6.7,-0.06685236768802227,-0.5574636723910171,2004-09,2.890347619047619,-0.0372291095054601,-0.010847824235084014
2004-10-01,6.86,0.023880597014925398,-0.5092989985693848,2004-10,2.852055,-0.013248447624523707,-0.003021987625406397
2004-11-01,7.24,0.055393586005830775,-0.3430127041742286,2004-11,2.78524,-0.02342696757250473,-0.04385856505320973
2004-12-01,7.6,0.04972375690607733,-0.18279569892473124,2004-12,2.7173608695652174,-0.0243710166573734,-0.07081446220841814
2005-01-01,7.41,-0.02499999999999991,-0.03891050583657585,2005-01,2.692223809523809,-0.009250541701305237,-0.05570244372549993
2005-02-01,7.39,-0.0026990553306343035,0.10463378176382654,2005-02,2.597038888888889,-0.03535550064530335,-0.1134906848317504
2005-03-01,7.54,0.020297699594046037,0.2801358234295417,2005-03,2.703936363636364,0.04116129150195724,-0.06910288930912489
2005-04-01,8.07,0.07029177718832891,0.5342205323193918,2005-04,2.57838,-0.04643465923418044,-0.11249025449325956
2005-05-01,8.05,-0.0024783147459727095,0.5631067961165048,2005-05,2.4520142857142857,-0.049009732578485066,-0.20893043692005164
2005-06-01,7.27,-0.09689440993788834,0.1996699669966997,2005-06,2.4127136363636366,-0.016027903907256613,-0.22875782036711356
2005-07-01,6.57,-0.09628610729023379,-0.03524229074889862,2005-07,2.3727095238095237,-0.016580547293795656,-0.21846927342836253
2005-08-01,6.02,-0.08371385083713856,-0.1615598885793872,2005-08,2.3598304347826087,-0.00542800915901287,-0.21394366748855131
2005-09-01,6.04,0.0033222591362127574,-0.09850746268656718,2005-09,2.2936095238095238,-0.02806172426502551,-0.20645893639420543
2005-10-01,6.36,0.052980132450331174,-0.07288629737609331,2005-10,2.25565,-0.016550124777331532,-0.2091141299869742
2005-11-01,6.22,-0.022012578616352307,-0.14088397790055252,2005-11,2.210035,-0.020222552257664117,-0.20651900733868533
