month,usdbrl_avg,mom,yoy,month_key
2007-09-01,1.898778947368421,-0.03380503519977518,-0.12415723306245274,2007-09
2007-10-01,1.800240909090909,-0.051895476518780126,-0.16169644853196563,2007-10
2007-11-01,1.769125,-0.017284302858455725,-0.17985953363311857,2007-11
2007-12-01,1.7851849999999998,0.009077934006924249,-0.1693414048540799,2007-12
2008-01-01,1.773459090909091,-0.006568455981261767,-0.17038034059907836,2008-01
2008-02-01,1.726942105263158,-0.026229522792142967,-0.17586098200235845,2008-02
2008-03-01,1.7067799999999997,-0.011675032533928431,-0.1825285794837299,2008-03
2008-04-01,1.6881285714285714,-0.010927845751314336,-0.16891518143958162,2008-04
2008-05-01,1.659735,-0.016819555044047085,-0.16209431845040723,2008-05
2008-06-01,1.6180571428571429,-0.025111151565073375,-0.1620929625248475,2008-06
2008-07-01,1.5906130434782608,-0.0169611434923872,-0.15483651600985082,2008-07
2008-08-01,1.6115142857142857,0.013140368942479608,-0.17997985456984267,2008-08
2008-09-01,1.7987681818181818,0.11619747821279658,-0.05267109459415864,2008-09
2008-10-01,2.1720521739130434,0.20752201193460573,0.2065341715903415,2008-10
2008-11-01,2.2654900000000002,0.04301822359940122,0.28057090369532967,2008-11
2008-12-01,2.393613636363636,0.056554492124721856,0.34082105572455323,2008-12
2009-01-01,2.306642857142857,-0.03633451025659451,0.3006462167449555,2009-01
2009-02-01,2.311872222222222,0.0022670891868550314,0.338708585062804,2009-02
2009-03-01,2.3130363636363636,0.0005035492026554955,0.35520475025273557,2009-03
2009-04-01,2.20505,-0.046685977503006626,0.30620975044216325,2009-04
2009-05-01,2.060105,-0.06573320332872268,0.24122525583903465,2009-05
2009-06-01,1.956757142857143,-0.05016630567027258,0.20932511654188457,2009-06
2009-07-01,1.9319521739130434,-0.01267657002538436,0.21459595835349243,2009-07
2009-08-01,1.8443809523809525,-0.045327841296775584,0.14450177000041386,2009-08
2009-09-01,1.818995238095238,-0.013763812867912839,0.011244948894198803,2009-09
2009-10-01,1.7376190476190476,-0.044736890329302725,-0.2000104470379025,2009-10
2009-11-01,1.7253599999999998,-0.007055083584543875,-0.23841641322627793,2009-11
2009-12-01,1.7495136363636363,0.013999186467541058,-0.26909104719946064,2009-12
2010-01-01,1.7790199999999998,0.01686546650627574,-0.2287405939367666,2010-01
2010-02-01,1.8408333333333333,0.03474572142715293,-0.20374780420871008,2010-02
2010-03-01,1.7850434782608695,-0.03030684748164625,-0.2282683029441991,2010-03
2010-04-01,1.75577,-0.01639930826188618,-0.2037504818484841,2010-04
2010-05-01,1.8123904761904763,0.03224823079929395,-0.12024363991618081,2010-05
2010-06-01,1.8057285714285713,-0.0036757557763754667,-0.07718309447847405,2010-06
2010-07-01,1.7688363636363638,-0.020430649642443788,-0.08443056328164644,2010-07
2010-08-01,1.7587636363636363,-0.005694550089427208,-0.04642062471247643,2010-08
2010-09-01,1.7179095238095237,-0.023228881760701703,-0.05557228087719812,2010-09
2010-10-01,1.6826999999999999,-0.020495563544839945,-0.03160591942998092,2010-10
2010-11-01,1.7125299999999999,0.017727461817317325,-0.007436129271572223,2010-11
2010-12-01,1.692613043478261,-0.011630135835132172,-0.03252366355008429,2010-12
2011-01-01,1.6741142857142857,-0.01092911214128478,-0.05896826021388979,2011-01
2011-02-01,1.6671900000000002,-0.004136089019353362,-0.09432865550022629,2011-02
2011-03-01,1.6583,-0.005332325649746061,-0.07100302026500382,2011-03
2011-04-01,1.5856473684210528,-0.04381151274132988,-0.09689346074881522,2011-04
2011-05-01,1.612690909090909,0.01705520483837808,-0.11018572968851748,2011-05
2011-06-01,1.5862428571428573,-0.016399951037710414,-0.1215496712842461,2011-06
2011-07-01,1.563138095238095,-0.014565715332126694,-0.11629016263290481,2011-07
2011-08-01,1.596208695652174,0.021156544335285687,-0.09242568890471026,2011-08
2011-09-01,1.7489761904761902,0.0957064669802461,0.018083994666829195,2011-09
2011-10-01,1.7718700000000003,0.013089834869379757,0.0529922148927322,2011-10
2011-11-01,1.789775,0.01010514315384281,0.04510577916883207,2011-11
2011-12-01,1.8361909090909092,0.025933935321986956,0.08482616045401659,2011-12
2012-01-01,1.7890136363636364,-0.02569301072873198,0.06863291928742332,2012-01
2012-02-01,1.7177578947368422,-0.03982962464815487,0.030331212841272936,2012-02
2012-03-01,1.7947000000000002,0.04479217094498966,0.08225290960622322,2012-03
2012-04-01,1.854225,0.03316710313701443,0.16938042904608097,2012-04
2012-05-01,1.9853863636363636,0.07073648755483486,0.23110160319285677,2012-05
